rxcui,ndc,ndc_source
105585,00054455015,current
105585,00054455025,current
105585,00054855025,current
105585,00378001401,current
105585,00555057202,current
105585,00555057235,current
105585,00904714110,current
105585,16729048601,current
105585,16729048636,current
105585,42291050501,current
105585,46708073031,current
105585,46708073036,current
105585,47335023583,current
105585,47335023596,current
105585,47781048201,current
105585,48433006501,current
105585,48433006505,current
105585,50090029409,current
105585,50090341802,current
105585,50090545702,current
105585,50090545709,current
105585,50268052711,current
105585,50268052715,current
105585,50268055411,current
105585,50268055415,current
105585,51079067001,current
105585,51079067005,current
105585,51407012101,current
105585,52959024400,current
105585,55887007301,current
105585,59651018201,current
105585,59651018236,current
105585,62135077235,current
105585,62332073031,current
105585,62332073036,current
105585,63629147201,current
105585,63629147202,current
105585,64850033001,current
105585,67046152403,current
105585,68071376506,current
105585,68071376509,current
105585,68071399109,current
105585,68382077501,current
105585,68382077505,current
105585,68382077510,current
105585,68382077516,current
105585,68382077560,current
105585,68382077577,current
105585,69238142301,current
105585,70771105800,current
105585,70771105801,current
105585,70771105802,current
105585,70771105803,current
105585,70771105805,current
105585,70771105807,current
105585,70771105809,current
105585,71335078201,current
105585,71335078202,current
105585,71335078203,current
105585,71335078204,current
105585,71335078205,current
105585,71335078206,current
105585,71335078207,current
105585,71335078208,current
105585,71335111801,current
105585,71335111802,current
105585,71335111803,current
105585,71335111804,current
105585,71335111805,current
105585,71335111806,current
105585,71335111807,current
105585,71335111808,current
105585,71335177201,current
105585,71335177202,current
105585,71335177203,current
105585,71335177204,current
105585,71335177205,current
105585,71335177206,current
105585,71335177207,current
105585,71335177208,current
105585,71335222101,current
105585,71335222102,current
105585,71335222103,current
105585,71335222104,current
105585,71335222105,current
105585,71335222106,current
105585,71335222107,current
105585,71335222108,current
105585,72162217401,current
105585,72162264701,current
105585,72162264702,current
105585,82804013630,current
106258,00113054164,current
106258,00113097316,current
106258,00113097364,current
106258,00113136964,current
106258,00168001516,current
106258,00168001531,current
106258,00316018601,current
106258,00316018616,current
106258,00363023604,current
106258,00363023702,current
106258,00363023703,current
106258,00363034356,current
106258,00363036964,current
106258,00363062001,current
106258,00363062002,current
106258,00363062003,current
106258,00363062004,current
106258,00363063801,current
106258,00363063802,current
106258,00363063803,current
106258,00363063804,current
106258,00363079164,current
106258,00363097202,current
106258,00363197316,current
106258,00363197326,current
106258,00363197364,current
106258,00363206302,current
106258,00363998102,current
106258,00404016650,current
106258,00472032126,current
106258,00472033956,current
106258,00472034356,current
106258,00536127780,current
106258,00536140795,current
106258,00924113201,current
106258,00924113300,current
106258,00924113301,current
106258,00924113302,current
106258,00924113303,current
106258,00924113304,current
106258,00924113305,current
106258,00924113306,current
106258,00924563300,current
106258,00924563301,current
106258,00924563302,current
106258,00924563400,current
106258,00924563402,current
106258,00924563404,current
106258,08137003658,current
106258,10939057033,current
106258,11383018551,current
106258,11383018552,current
106258,11383029201,current
106258,11383031301,current
106258,11383031302,current
106258,11527005251,current
106258,11527005255,current
106258,11673003016,current
106258,11673005764,current
106258,11673020264,current
106258,11673039802,current
106258,11673039902,current
106258,11673089056,current
106258,11822206902,current
106258,11822209002,current
106258,11822209003,current
106258,11822209902,current
106258,11822209903,current
106258,11822313001,current
106258,11822313003,current
106258,11822358708,current
106258,11917004958,current
106258,11917004959,current
106258,11917010288,current
106258,11917013828,current
106258,11917018247,current
106258,13709035901,current
106258,21130027864,current
106258,21130036964,current
106258,21130039516,current
106258,21130039564,current
106258,21130043364,current
106258,21130044916,current
106258,21130044964,current
106258,21130099364,current
106258,21922009604,current
106258,21922009605,current
106258,21922009704,current
106258,21922009705,current
106258,24286157801,current
106258,24385002103,current
106258,24385027403,current
106258,27293001714,current
106258,29784014228,current
106258,30142036964,current
106258,30142041116,current
106258,30142097364,current
106258,36800005106,current
106258,36800005118,current
106258,36800009902,current
106258,36800052416,current
106258,36800052426,current
106258,36800052464,current
106258,36800093964,current
106258,36800098164,current
106258,37012005902,current
106258,37808031964,current
106258,37808036964,current
106258,37808097364,current
106258,40002000303,current
106258,41163031916,current
106258,41163031964,current
106258,41163036964,current
106258,41163097364,current
106258,41250036916,current
106258,41250036964,current
106258,41415004775,current
106258,41415004875,current
106258,41415033002,current
106258,41520003364,current
106258,41520031964,current
106258,42507031928,current
106258,42507031964,current
106258,42507097328,current
106258,42507097364,current
106258,42961023701,current
106258,42961023702,current
106258,42961023703,current
106258,42961023704,current
106258,43473004901,current
106258,43473005401,current
106258,43473009201,current
106258,43473031301,current
106258,43749062001,current
106258,43749062002,current
106258,45334032702,current
106258,45334032704,current
106258,45565055509,current
106258,45802043803,current
106258,45802043805,current
106258,46122082236,current
106258,47046015701,current
106258,47682020712,current
106258,47682020735,current
106258,47682020773,current
106258,47682020799,current
106258,47682021112,current
106258,47682021135,current
106258,47682021173,current
106258,47682021199,current
106258,47682024369,current
106258,47682039735,current
106258,47682039773,current
106258,47682039799,current
106258,47682039873,current
106258,47682039899,current
106258,47682092373,current
106258,47682093373,current
106258,47682098035,current
106258,47682098073,current
106258,47682098099,current
106258,47682098173,current
106258,49035036964,current
106258,49035055026,current
106258,49035070701,current
106258,49035070716,current
106258,49035070726,current
106258,49035070764,current
106258,49035073202,current
106258,49035073220,current
106258,49035097327,current
106258,49314000501,current
106258,49348043578,current
106258,49348044172,current
106258,49348052172,current
106258,49348052176,current
106258,49348052178,current
106258,49967010801,current
106258,49967010802,current
106258,49999013901,current
106258,50090311300,current
106258,50090311500,current
106258,50090547000,current
106258,50090725500,current
106258,50090742800,current
106258,51143005902,current
106258,51316022700,current
106258,51316023000,current
106258,51326010530,current
106258,51326010857,current
106258,51672201301,current
106258,51672201302,current
106258,51672201303,current
106258,51672205901,current
106258,51672205902,current
106258,51672206302,current
106258,51672206902,current
106258,51672206909,current
106258,51672300402,current
106258,51672533001,current
106258,51672533002,current
106258,51672533003,current
106258,51824005001,current
106258,51824005009,current
106258,51824005014,current
106258,51824009701,current
106258,51824009809,current
106258,51824009814,current
106258,51824009825,current
106258,51824019701,current
106258,51824019702,current
106258,51824019703,current
106258,51824019704,current
106258,52000002236,current
106258,52000002238,current
106258,52000002239,current
106258,52735074026,current
106258,52959003901,current
106258,52959003903,current
106258,52959003915,current
106258,52959083005,current
106258,53329009101,current
106258,53329009190,current
106258,53329009191,current
106258,53329009196,current
106258,53943026901,current
106258,55301020164,current
106258,55315018156,current
106258,55315018256,current
106258,55319098200,current
106258,55621000101,current
106258,55621000801,current
106258,55621001828,current
106258,55681001801,current
106258,55681001909,current
106258,55681001914,current
106258,55758042002,current
106258,55758042003,current
106258,55910022564,current
106258,55910031964,current
106258,55910050416,current
106258,56152200301,current
106258,57896014609,current
106258,57896014614,current
106258,58228204501,current
106258,58228204502,current
106258,58228289601,current
106258,58228624501,current
106258,58228702001,current
106258,58228703001,current
106258,59256000401,current
106258,59390002317,current
106258,59428040357,current
106258,59779009902,current
106258,59779009903,current
106258,59779009904,current
106258,59779030728,current
106258,59779031916,current
106258,59779031956,current
106258,59779084428,current
106258,59779097364,current
106258,60600053720,current
106258,61010580001,current
106258,61010580002,current
106258,61010580003,current
106258,61010580004,current
106258,61040012901,current
106258,61387025201,current
106258,61678041193,current
106258,62011009501,current
106258,62011009601,current
106258,62559043001,current
106258,63187050401,current
106258,63187056701,current
106258,63629195101,current
106258,63868059428,current
106258,63868059728,current
106258,63868068901,current
106258,63981097316,current
106258,63981097334,current
106258,65923003540,current
106258,65923049414,current
106258,65923092514,current
106258,66267096820,current
106258,66267096901,current
106258,66915053101,current
106258,66915053102,current
106258,67091005528,current
106258,67091019728,current
106258,67091041928,current
106258,67234001001,current
106258,67234001002,current
106258,67777000401,current
106258,67777000402,current
106258,67777000403,current
106258,67777000404,current
106258,67777000405,current
106258,67777000406,current
106258,67777000407,current
106258,67777000408,current
106258,68001047646,current
106258,68001047650,current
106258,68016001936,current
106258,68016002411,current
106258,68016010201,current
106258,68016014901,current
106258,68016052901,current
106258,68071520501,current
106258,68071530501,current
106258,68196097316,current
106258,68196097334,current
106258,68391010016,current
106258,68599118201,current
106258,68599118202,current
106258,68726050401,current
106258,68726050402,current
106258,68788410902,current
106258,68788412202,current
106258,68788807802,current
106258,69396000505,current
106258,69396000520,current
106258,69396002801,current
106258,69396002802,current
106258,69396002833,current
106258,69396002844,current
106258,69396005001,current
106258,69396005005,current
106258,69396005501,current
106258,69396005701,current
106258,69396008101,current
106258,69396009616,current
106258,69396011809,current
106258,69396011825,current
106258,69396012901,current
106258,69396014701,current
106258,69473001701,current
106258,69473002001,current
106258,69571000901,current
106258,69729010311,current
106258,69729026953,current
106258,69729030151,current
106258,69729079402,current
106258,69729082802,current
106258,69729083001,current
106258,69842015510,current
106258,69842015528,current
106258,69842015556,current
106258,69842029201,current
106258,69842063001,current
106258,69842063002,current
106258,69842063003,current
106258,69842063004,current
106258,69968051101,current
106258,69968088801,current
106258,70000048501,current
106258,70000054301,current
106258,70000066201,current
106258,70288071401,current
106258,70403092330,current
106258,70484000701,current
106258,70484000702,current
106258,70677121501,current
106258,70677121601,current
106258,70677121602,current
